date_participation,code_postal,empreinte_moyenne,logement_type,logement_superficie_m2,logement_nb_habitants,logement_type_chauffage,logement_isolation,logement_temperature_chauffage,transport_km_voiture,transport_km_voiture_electrique,transport_km_train,transport_km_bus,transport_km_metro,transport_km_tram,transport_km_velo,transport_km_velo_electrique,transport_km_trottinette,transport_km_moto,transport_nb_vols_avion,alimentation_repas_viande_semaine,alimentation_eau_bouteille,alimentation_petits_electromenager,alimentation_gros_electromenager,alimentation_freq_remplacement,vetements_neufs_an,divertissement_petits_electromenager,divertissement_gros_electromenager,divertissement_freq_remplacement,divertissement_appareils_numeriques,divertissement_heures_video_jour,divertissement_qualite_video,impact_logement,impact_transport,impact_alimentation,impact_vetements,impact_divertissement,impact_total
2025-02-26,1020,8.88,Appartement,70,1,Fioul,Bien isolé,19,12056,0,4821,972,1088,371,788,1171,26,0,4,10,Oui,3,4,Plus de 15 ans,12,4,4,10-15 ans,5,0,HD,3.9,4.57,0.87,0.24,0.15,9.98
2025-02-23,1180,10.71,Appartement,42,1,Gaz,Mal isolé,22,11674,0,1163,985,325,754,1494,0,47,0,2,5,Oui,3,5,10-15 ans,16,5,6,Plus de 15 ans,6,4,4K,2.94,3.44,0.72,0.32,3.89,11.99
2025-06-08,1090,11.73,Colocation,84,3,Électrique,Très bien isolé,23,17335,0,2797,1209,911,1853,910,0,67,0,1,5,Non,3,4,Plus de 15 ans,5,2,4,Moins de 5 ans,2,5,SD,0.79,4.12,0.57,0.1,4.64,11.51
2025-06-04,1030,9.98,Studio,30,3,Gaz,Très bien isolé,18,4980,0,5590,1459,2987,262,134,0,163,0,3,3,Oui,5,3,10-15 ans,19,6,2,5-10 ans,8,8,4K,0.83,2.72,0.56,0.38,7.51,12.94
2025-05-09,1140,11.08,Maison,95,1,Bois,Moyennement isolé,20,23238,12706,3201,1441,2952,54,1230,0,294,0,3,12,Oui,4,4,10-15 ans,44,4,3,5-10 ans,4,2,SD,2.9,6.99,0.96,0.88,1.92,14.41
2025-02-27,1082,11.32,Maison,194,2,Bois,Bien isolé,18,9415,0,3880,1819,1450,461,264,1748,44,0,5,7,Non,2,3,Plus de 15 ans,7,6,3,Plus de 15 ans,9,1,4K,2.44,4.6,0.59,0.14,1.15,10.02
2025-04-30,1083,9.05,Appartement,52,1,Gaz,Bien isolé,21,3269,0,6924,4535,910,1828,1971,0,286,0,0,1,Non,7,6,10-15 ans,39,8,4,Plus de 15 ans,9,3,HD,2.84,1.16,0.55,0.78,2.94,8.08
2025-05-14,1000,9.56,Maison,168,6,Électrique,Bien isolé,23,16657,1738,6179,4976,1196,519,315,0,343,0,2,11,Oui,3,5,Plus de 15 ans,8,5,3,10-15 ans,5,5,4K,0.71,4.95,0.96,0.16,4.75,9.45
2025-01-09,1160,10.03,Colocation,91,1,Gaz,Très bien isolé,20,13002,0,4028,2259,428,1695,483,2740,161,0,2,4,Oui,7,5,5-10 ans,5,7,2,5-10 ans,8,2,HD,3.52,3.87,0.72,0.1,1.99,10.86
2025-04-08,1050,11.73,Colocation,89,3,Pompe à chaleur,Moyennement isolé,21,2072,0,2267,3900,184,740,652,0,37,0,4,10,Oui,4,3,Plus de 15 ans,22,2,2,10-15 ans,7,6,HD,0.96,2.77,0.83,0.44,5.62,8.56
2025-05-28,1040,11.01,Colocation,135,6,Bois,Moyennement isolé,21,17928,0,6593,1514,246,977,1645,561,9,0,1,2,Oui,2,6,Moins de 5 ans,13,7,2,5-10 ans,6,1,SD,0.6,4.31,0.64,0.26,1.03,7.03
2025-03-02,1030,10.59,Colocation,119,2,Pompe à chaleur,Mal isolé,18,18559,0,3887,1766,303,337,873,0,247,0,3,12,Oui,3,6,Plus de 15 ans,48,8,2,Plus de 15 ans,7,8,4K,1.99,5.44,1.05,0.96,7.51,17.77
2025-03-05,1030,9.51,Maison,187,3,Électrique,Moyennement isolé,19,3777,0,5160,3131,1346,632,385,2099,344,0,2,5,Oui,3,3,5-10 ans,7,3,2,Moins de 5 ans,7,0,HD,1.75,2.12,0.62,0.14,0.15,4.75
2025-04-09,1180,9.63,Colocation,96,2,Gaz,Très bien isolé,19,13790,0,3803,3241,1254,633,1115,0,222,0,0,7,Non,4,3,Plus de 15 ans,17,5,4,Plus de 15 ans,2,4,HD,1.86,3.1,0.61,0.34,3.76,7.87
2025-03-22,1130,8.65,Maison,140,1,Bois,Mal isolé,20,18515,0,1527,3804,1807,161,225,0,289,0,0,11,Non,3,5,5-10 ans,8,7,4,Plus de 15 ans,2,2,HD,4.0,4.07,0.86,0.16,1.94,10.37
2025-05-10,1050,8.29,Colocation,146,2,Fioul,Bien isolé,18,10289,0,7505,4296,2542,1740,1146,0,390,0,1,14,Non,5,6,5-10 ans,24,4,4,10-15 ans,5,4,4K,2.76,3.07,1.05,0.48,3.85,10.12
2025-04-03,1040,9.91,Appartement,90,3,Bois,Bien isolé,22,7944,0,7739,2117,1129,1184,923,0,294,0,3,4,Oui,6,4,5-10 ans,19,2,6,10-15 ans,10,6,SD,0.8,3.41,0.66,0.38,5.68,11.39
2025-04-26,1040,9.21,Studio,23,2,Gaz,Très bien isolé,22,14599,11325,1419,943,1960,1559,88,0,154,0,1,3,Non,7,6,10-15 ans,26,5,6,5-10 ans,4,0,SD,0.98,4.11,0.63,0.52,0.14,5.13
2025-01-26,1082,10.44,Studio,32,5,Électrique,Bien isolé,22,1789,0,1158,2914,436,279,1594,1890,170,0,3,8,Non,3,5,10-15 ans,45,7,5,Moins de 5 ans,10,6,SD,0.33,2.13,0.74,0.9,5.68,11.43
2025-06-03,1200,10.62,Studio,37,2,Fioul,Moyennement isolé,21,12710,1187,1825,4440,2255,759,98,0,151,0,0,6,Oui,7,4,Moins de 5 ans,20,3,4,Plus de 15 ans,6,2,HD,1.62,3.01,0.75,0.4,1.98,7.47
2025-06-16,1180,11.97,Maison,164,2,Bois,Mal isolé,22,24295,0,6561,3246,2212,1702,57,2667,160,0,3,9,Non,5,3,5-10 ans,46,2,5,Plus de 15 ans,6,1,HD,2.14,6.75,0.7,0.92,1.08,10.49
2025-04-04,1000,10.29,Studio,21,1,Bois,Moyennement isolé,18,5353,9160,4993,2296,1729,800,692,1379,373,0,4,2,Oui,3,4,5-10 ans,44,8,3,Moins de 5 ans,4,0,SD,1.62,3.83,0.55,0.88,0.11,6.52
2025-05-24,1000,9.11,Maison,192,1,Gaz,Bien isolé,19,8311,0,3612,554,2835,251,1372,0,401,0,4,0,Non,8,6,5-10 ans,35,6,6,10-15 ans,7,3,4K,5.84,3.81,0.52,0.7,2.99,11.4
2025-03-18,1000,8.23,Appartement,50,5,Électrique,Bien isolé,23,19061,0,2116,3994,698,481,59,2935,469,0,0,2,Non,5,3,Moins de 5 ans,10,5,3,5-10 ans,4,4,SD,0.38,4.22,0.42,0.2,3.75,10.33
2025-03-07,1200,11.82,Colocation,73,4,Pompe à chaleur,Mal isolé,20,8534,0,5097,4921,749,1895,540,1473,327,0,1,14,Non,3,6,5-10 ans,26,6,2,5-10 ans,4,5,4K,0.71,2.72,1.03,0.52,4.73,7.93
2024-12-26,1040,11.23,Colocation,110,4,Fioul,Moyennement isolé,22,23747,0,7759,2026,1988,510,1284,2348,393,0,3,1,Oui,2,3,Moins de 5 ans,12,6,5,Moins de 5 ans,5,5,4K,1.15,6.57,0.45,0.24,4.78,13.47
2025-01-14,1180,8.88,Appartement,98,4,Pompe à chaleur,Moyennement isolé,23,1181,0,7639,1847,2450,309,721,2537,316,0,1,9,Non,7,3,Plus de 15 ans,11,3,3,5-10 ans,9,6,4K,0.72,1.04,0.72,0.22,5.71,7.58
2025-02-24,1020,10.07,Maison,82,2,Fioul,Bien isolé,19,3702,0,3087,2625,2806,1660,533,0,330,0,4,14,Oui,7,3,5-10 ans,17,4,4,10-15 ans,9,0,HD,2.07,3.05,1.02,0.34,0.2,6.68
2025-02-10,1190,9.81,Studio,20,2,Gaz,Bien isolé,18,12261,0,3092,4157,2803,715,146,0,447,0,3,7,Non,4,4,Plus de 15 ans,32,7,3,5-10 ans,7,6,SD,1.25,4.39,0.66,0.64,5.62,11.39
2025-02-13,1210,11.03,Studio,25,1,Fioul,Bien isolé,18,13708,6543,2861,4446,342,290,1657,0,14,0,2,14,Oui,3,5,Moins de 5 ans,9,4,5,5-10 ans,2,2,4K,3.1,4.47,1.08,0.18,2.0,10.04
2024-12-23,1090,10.14,Colocation,89,2,Pompe à chaleur,Bien isolé,23,13389,10197,5920,2430,2720,1564,1953,1767,193,5433,0,8,Oui,7,5,Moins de 5 ans,17,3,2,5-10 ans,10,0,SD,1.24,4.05,0.88,0.34,0.16,6.06
2025-04-24,1020,9.31,Maison,88,4,Gaz,Bien isolé,19,3092,0,1416,624,1524,1534,606,0,466,0,2,8,Oui,8,6,Plus de 15 ans,39,5,5,10-15 ans,2,1,4K,0.94,1.75,0.94,0.78,1.09,4.64
2025-01-29,1040,9.18,Appartement,89,2,Fioul,Bien isolé,23,31,6361,1455,4669,2058,1875,1909,0,326,0,0,5,Non,8,6,Plus de 15 ans,23,8,5,10-15 ans,3,6,4K,1.94,0.77,0.72,0.46,5.67,8.14
2025-05-05,1090,11.91,Maison,171,5,Électrique,Bien isolé,18,6334,5007,5653,523,186,582,334,0,272,0,5,4,Non,6,3,Moins de 5 ans,35,8,6,Plus de 15 ans,4,6,4K,0.96,4.17,0.51,0.7,5.69,12.57
2025-04-10,1040,9.31,Appartement,60,2,Électrique,Très bien isolé,23,18007,3593,7169,3538,1729,839,42,0,381,0,0,0,Non,3,4,10-15 ans,17,6,5,5-10 ans,3,0,HD,0.95,4.22,0.37,0.34,0.14,6.33
2025-05-06,1050,9.54,Maison,193,2,Électrique,Très bien isolé,20,18125,0,7576,3423,2522,350,1351,0,392,0,0,6,Non,3,6,Plus de 15 ans,20,8,3,5-10 ans,10,3,4K,2.43,4.06,0.71,0.4,3.0,11.06
2025-04-29,1000,8.4,Colocation,112,5,Gaz,Moyennement isolé,23,3737,0,7892,4442,1648,362,814,0,126,0,1,12,Oui,2,3,5-10 ans,14,7,6,5-10 ans,5,3,4K,0.81,1.74,0.89,0.28,2.97,6.97
2025-02-02,1150,9.87,Maison,124,4,Pompe à chaleur,Très bien isolé,22,15626,0,7683,162,1663,1951,1834,0,197,355,1,10,Non,8,4,Moins de 5 ans,45,6,6,Moins de 5 ans,6,3,SD,0.77,3.82,0.82,0.9,2.9,9.66
2025-02-27,1040,8.55,Appartement,98,5,Gaz,Moyennement isolé,22,13729,0,4368,2023,2216,1418,612,0,254,0,2,11,Oui,7,6,Plus de 15 ans,28,7,5,Plus de 15 ans,4,5,4K,0.77,4.01,1.05,0.56,4.77,12.63
2025-02-26,1000,10.3,Studio,39,2,Bois,Bien isolé,20,10687,4470,5498,3564,2573,1303,18,0,377,0,0,13,Oui,5,5,Plus de 15 ans,14,8,6,Plus de 15 ans,8,4,SD,0.79,2.78,1.06,0.28,3.84,9.68
2025-03-11,1080,9.59,Appartement,111,1,Bois,Mal isolé,20,22478,0,2088,4580,1441,1404,1265,0,145,0,0,8,Oui,8,5,Moins de 5 ans,31,5,3,10-15 ans,9,8,4K,3.42,4.92,0.89,0.62,7.54,16.3
2025-01-23,1040,11.61,Appartement,88,2,Bois,Très bien isolé,20,9503,0,6490,4955,682,1357,1310,0,201,0,1,2,Oui,8,3,5-10 ans,30,3,5,Moins de 5 ans,8,6,HD,1.18,2.92,0.55,0.6,5.67,11.15
2025-06-16,1040,9.79,Maison,114,2,Fioul,Moyennement isolé,22,3420,0,4,4557,2210,1173,1137,2726,411,3952,1,13,Oui,6,6,10-15 ans,11,6,4,Plus de 15 ans,5,0,SD,2.34,2.0,1.12,0.22,0.13,6.8
2025-03-18,1000,10.61,Appartement,40,2,Fioul,Mal isolé,23,13215,14558,7122,4886,1457,1321,416,1464,198,0,2,12,Oui,8,6,10-15 ans,32,5,6,Moins de 5 ans,10,7,4K,1.65,4.9,1.1,0.64,6.68,17.43
2025-02-05,1210,9.51,Maison,133,4,Gaz,Très bien isolé,18,20677,0,3503,3050,2817,251,97,1210,155,0,0,9,Oui,5,6,10-15 ans,47,4,5,Plus de 15 ans,7,2,HD,1.14,4.46,0.95,0.94,2.01,11.17
2025-05-19,1090,9.3,Studio,31,3,Pompe à chaleur,Mal isolé,19,10335,0,6292,1460,754,1922,1751,2494,4,0,0,10,Non,5,3,10-15 ans,36,4,5,Plus de 15 ans,6,8,HD,0.71,2.29,0.74,0.72,7.47,12.81
2025-01-19,1180,10.56,Colocation,101,1,Électrique,Bien isolé,20,200,0,670,1123,1177,682,1492,0,52,0,3,14,Oui,2,4,Plus de 15 ans,13,7,3,Moins de 5 ans,3,7,SD,3.22,1.65,1.02,0.26,6.48,14.77
2025-01-09,1050,11.66,Colocation,80,2,Fioul,Bien isolé,22,11354,0,5835,2631,2269,665,350,2738,156,0,3,2,Non,2,6,Moins de 5 ans,37,4,5,10-15 ans,3,7,SD,1.9,4.1,0.54,0.74,6.5,11.32
2025-02-05,1040,10.41,Appartement,86,2,Gaz,Moyennement isolé,21,14880,0,3863,1886,1499,1307,439,0,72,0,3,11,Non,2,6,Moins de 5 ans,27,6,4,Plus de 15 ans,5,4,HD,1.86,4.7,0.9,0.54,3.8,13.45
2025-06-11,1030,9.14,Maison,142,2,Gaz,Bien isolé,19,4089,0,3451,681,281,1409,411,2639,266,0,5,6,Oui,6,6,5-10 ans,40,2,4,5-10 ans,9,8,HD,2.42,3.46,0.84,0.8,7.49,13.19
2025-01-29,1082,10.94,Maison,120,3,Fioul,Bien isolé,18,14587,0,3347,2676,2707,435,1897,0,115,0,3,8,Oui,2,3,10-15 ans,32,7,5,5-10 ans,6,4,HD,1.67,4.71,0.73,0.64,3.83,11.56
2025-02-27,1050,11.62,Colocation,80,3,Pompe à chaleur,Très bien isolé,20,7355,6488,1118,4814,2476,1178,526,0,322,0,0,14,Non,2,3,Moins de 5 ans,12,2,6,10-15 ans,9,3,4K,0.8,2.25,0.87,0.24,3.0,5.78
2024-12-27,1020,10.07,Studio,25,1,Gaz,Mal isolé,23,17107,4710,1394,2415,1596,567,1507,0,397,0,2,14,Non,6,5,Plus de 15 ans,15,6,4,Plus de 15 ans,7,5,4K,2.5,4.92,1.01,0.3,4.79,11.5
2025-05-23,1050,8.82,Appartement,62,1,Pompe à chaleur,Mal isolé,23,17655,0,7349,606,563,612,1083,0,327,0,3,14,Oui,5,3,10-15 ans,42,6,4,10-15 ans,7,1,HD,2.34,5.22,1.0,0.84,1.09,11.73
2025-02-13,1070,10.31,Maison,146,6,Bois,Très bien isolé,18,5971,0,5228,243,859,1081,1029,0,222,0,0,1,Oui,6,6,Moins de 5 ans,22,4,6,Moins de 5 ans,2,2,SD,0.62,1.32,0.64,0.44,1.94,4.85
2025-03-18,1130,11.43,Maison,151,4,Pompe à chaleur,Bien isolé,19,12244,13583,5382,2564,2066,1102,1537,2956,237,0,0,13,Non,3,4,Plus de 15 ans,6,7,2,Moins de 5 ans,5,1,SD,1.03,3.45,0.89,0.12,1.02,5.85
2025-05-19,1040,9.37,Colocation,99,1,Fioul,Moyennement isolé,18,7974,0,346,4701,241,1413,1087,0,273,0,3,11,Oui,2,5,10-15 ans,8,3,4,5-10 ans,9,3,HD,4.78,3.51,0.95,0.16,2.93,10.21
2024-12-24,1000,9.54,Colocation,86,2,Pompe à chaleur,Bien isolé,21,2584,5712,4175,4911,1642,1163,502,991,408,0,2,10,Non,6,5,Plus de 15 ans,10,4,4,Plus de 15 ans,5,1,4K,1.31,2.31,0.85,0.2,1.11,5.4
2025-03-16,1160,11.23,Colocation,132,1,Fioul,Très bien isolé,18,12446,6437,7835,348,2703,274,1716,0,122,0,0,0,Oui,6,6,Plus de 15 ans,31,2,4,5-10 ans,6,2,4K,5.04,2.98,0.6,0.62,2.03,9.38
2025-04-16,1060,8.54,Colocation,69,1,Gaz,Mal isolé,20,20794,0,2742,4386,2600,1882,613,0,135,3058,4,0,Oui,7,3,5-10 ans,36,3,2,10-15 ans,4,7,HD,3.68,6.89,0.46,0.72,6.5,16.12
2025-02-10,1030,11.02,Studio,40,2,Fioul,Mal isolé,18,17329,0,1883,4849,1298,1626,432,0,294,0,3,6,Non,5,5,Moins de 5 ans,41,3,3,10-15 ans,10,7,HD,1.9,5.42,0.68,0.82,6.58,17.69
2025-03-23,1090,8.82,Maison,186,4,Fioul,Mal isolé,19,16087,4356,7276,1610,87,1314,1982,0,283,0,5,12,Oui,8,6,10-15 ans,7,3,4,5-10 ans,10,8,SD,1.66,6.2,1.1,0.14,7.48,16.63
2025-02-20,1020,11.88,Studio,36,2,Électrique,Bien isolé,21,9304,0,3682,114,1028,193,476,0,309,7480,0,5,Oui,6,6,Moins de 5 ans,16,6,3,Plus de 15 ans,4,5,HD,0.91,2.71,0.8,0.32,4.69,10.51
2025-04-14,1060,8.4,Maison,190,4,Gaz,Très bien isolé,23,21376,0,3783,1097,29,549,1552,0,10,5653,1,9,Non,2,4,5-10 ans,22,4,3,Moins de 5 ans,2,7,4K,1.3,5.49,0.72,0.44,6.54,15.15
2025-01-09,1160,10.13,Maison,176,2,Pompe à chaleur,Très bien isolé,22,23926,0,3888,1237,1596,523,1772,0,208,0,0,1,Non,8,5,5-10 ans,16,4,2,10-15 ans,5,2,HD,2.06,4.97,0.51,0.32,1.95,8.24
2025-01-12,1180,8.79,Appartement,64,2,Bois,Mal isolé,18,22529,0,411,3890,49,305,1118,0,355,0,0,14,Oui,8,3,Moins de 5 ans,43,4,3,Plus de 15 ans,8,2,SD,1.34,4.86,1.03,0.86,1.97,10.35
2025-02-01,1090,10.04,Appartement,41,2,Pompe à chaleur,Moyennement isolé,18,1963,3987,1118,2732,2306,1977,25,1889,110,0,0,12,Oui,7,6,5-10 ans,15,2,2,5-10 ans,10,6,4K,1.11,0.86,1.09,0.3,5.71,7.4
2025-06-01,1180,9.17,Colocation,123,1,Gaz,Très bien isolé,20,10361,0,5815,2288,1669,1622,229,0,56,0,1,1,Non,8,3,Plus de 15 ans,21,4,3,Plus de 15 ans,2,2,SD,4.16,2.86,0.41,0.42,1.9,10.76
2025-05-18,1020,9.41,Studio,24,1,Pompe à chaleur,Très bien isolé,19,11217,14931,4814,2210,337,290,1954,0,479,0,0,4,Non,7,6,Plus de 15 ans,16,5,6,Moins de 5 ans,5,2,HD,1.38,3.29,0.67,0.32,2.0,8.09
2025-05-27,1180,10.81,Maison,140,2,Pompe à chaleur,Moyennement isolé,23,18258,11094,1097,2214,1412,1694,1417,0,276,0,1,2,Oui,2,3,10-15 ans,39,6,2,5-10 ans,8,8,HD,1.85,4.94,0.49,0.78,7.46,18.59
2025-01-16,1040,9.61,Colocation,92,2,Pompe à chaleur,Mal isolé,19,7008,0,481,79,2048,1076,551,0,132,6137,0,13,Oui,6,3,Moins de 5 ans,36,4,6,5-10 ans,3,6,HD,1.67,2.06,0.97,0.72,5.62,9.02
2025-02-05,1200,9.97,Maison,130,3,Électrique,Bien isolé,20,7551,4407,4176,3580,1107,919,1934,0,258,0,0,8,Non,4,5,Plus de 15 ans,16,3,2,5-10 ans,3,2,SD,1.27,2.11,0.75,0.32,1.9,6.96
2025-05-14,1000,10.97,Studio,30,1,Électrique,Bien isolé,18,1997,8987,4251,3087,1018,1624,597,0,206,0,2,9,Oui,2,3,Moins de 5 ans,21,2,5,Moins de 5 ans,2,1,HD,2.0,2.19,0.77,0.42,1.03,6.58
2025-05-13,1160,9.74,Maison,167,2,Pompe à chaleur,Mal isolé,23,23473,0,3180,72,2219,1628,1501,0,278,0,4,13,Non,5,5,Plus de 15 ans,20,2,2,Moins de 5 ans,10,4,4K,2.22,6.79,0.96,0.4,3.88,12.65
2025-05-27,1160,9.79,Maison,137,1,Gaz,Très bien isolé,20,3029,0,4548,3025,2843,530,675,0,388,0,3,2,Oui,3,5,Moins de 5 ans,9,4,3,10-15 ans,5,4,HD,4.44,2.47,0.6,0.18,3.78,11.06
2025-03-16,1040,9.56,Studio,29,3,Fioul,Mal isolé,21,14470,879,782,479,2254,282,546,0,369,1140,2,8,Oui,7,4,5-10 ans,46,3,6,Plus de 15 ans,6,0,SD,1.09,4.15,0.83,0.92,0.16,8.47
2025-06-12,1000,10.75,Studio,36,4,Pompe à chaleur,Moyennement isolé,23,10641,0,3830,1862,1468,1304,1988,1276,81,0,0,7,Oui,2,5,Moins de 5 ans,15,6,2,5-10 ans,10,5,SD,0.41,2.35,0.79,0.3,4.73,8.74
2025-06-03,1080,11.52,Maison,180,3,Fioul,Moyennement isolé,22,586,14193,7309,3256,468,1809,64,2464,88,0,0,6,Oui,2,3,5-10 ans,40,3,6,5-10 ans,9,1,SD,2.0,1.21,0.65,0.8,1.11,4.82
2025-05-07,1050,9.2,Maison,152,3,Pompe à chaleur,Très bien isolé,20,2935,10729,7409,2166,2180,1464,766,1758,222,0,0,13,Non,4,6,Moins de 5 ans,24,7,3,5-10 ans,9,6,SD,1.28,1.44,1.0,0.48,5.64,11.23
2025-06-14,1030,8.02,Appartement,82,2,Fioul,Mal isolé,23,24363,0,1679,2532,2014,1731,304,0,179,0,1,7,Non,6,4,5-10 ans,25,8,2,5-10 ans,9,2,HD,2.07,5.64,0.68,0.5,2.01,10.69
2025-03-12,1190,8.44,Colocation,104,5,Pompe à chaleur,Bien isolé,19,9045,0,7834,3620,1674,1745,1117,0,438,0,3,4,Non,5,3,5-10 ans,42,2,3,10-15 ans,2,0,HD,0.64,3.77,0.5,0.84,0.09,6.95
2025-02-10,1180,8.07,Colocation,98,6,Électrique,Bien isolé,20,8908,0,2519,439,1258,1486,858,0,385,0,0,1,Oui,2,5,Plus de 15 ans,21,6,4,5-10 ans,7,4,4K,0.53,1.9,0.55,0.42,3.88,8.11
2025-03-10,1050,11.21,Studio,29,3,Gaz,Très bien isolé,18,21973,0,4039,1602,2239,1127,164,0,237,0,3,6,Oui,4,4,10-15 ans,48,6,4,5-10 ans,3,8,4K,0.83,6.12,0.72,0.96,7.48,14.67
2025-02-03,1040,8.96,Colocation,111,2,Gaz,Moyennement isolé,18,3301,0,1488,746,659,1669,1798,0,100,0,0,12,Oui,3,3,Moins de 5 ans,50,5,2,10-15 ans,10,6,SD,2.26,0.76,0.9,1.0,5.64,11.93
2025-05-15,1000,11.0,Colocation,66,6,Électrique,Bien isolé,18,22900,9743,3659,4511,2425,1275,1237,0,25,6615,0,0,Oui,4,6,Moins de 5 ans,20,2,5,Moins de 5 ans,9,8,HD,0.45,6.16,0.58,0.4,7.5,12.36
2025-01-10,1210,10.23,Colocation,79,4,Fioul,Très bien isolé,23,16624,9532,5308,2333,2605,955,1682,0,444,0,0,1,Oui,3,6,10-15 ans,19,4,6,5-10 ans,3,0,HD,0.87,4.12,0.61,0.38,0.15,7.17
2024-12-29,1020,8.91,Appartement,100,1,Pompe à chaleur,Très bien isolé,23,7428,0,7745,3403,433,873,56,0,262,5042,1,13,Oui,3,4,Plus de 15 ans,21,5,5,Moins de 5 ans,10,3,HD,2.5,2.9,0.99,0.42,2.96,9.15
2025-02-26,1190,11.05,Appartement,40,1,Fioul,Très bien isolé,23,23684,0,3001,2882,1906,1775,1987,0,7,0,0,13,Non,3,4,5-10 ans,30,3,3,Moins de 5 ans,8,0,HD,2.7,5.03,0.89,0.6,0.17,9.77
2025-01-30,1030,11.71,Colocation,93,2,Pompe à chaleur,Très bien isolé,21,14499,0,2920,543,1789,1269,1413,2367,435,0,4,11,Oui,2,5,Moins de 5 ans,12,8,5,10-15 ans,4,6,SD,1.28,5.05,0.95,0.24,5.61,10.52
2025-04-26,1050,8.4,Studio,21,6,Bois,Moyennement isolé,19,9242,0,5757,921,2539,1102,1772,560,147,0,0,1,Oui,2,3,10-15 ans,11,7,5,Moins de 5 ans,2,5,SD,0.25,2.04,0.45,0.22,4.67,6.24
2025-06-02,1083,11.28,Colocation,106,4,Bois,Mal isolé,23,9528,0,6505,2007,946,1367,1777,0,441,0,1,1,Oui,2,5,Moins de 5 ans,12,8,4,Plus de 15 ans,8,4,SD,0.76,2.71,0.55,0.24,3.82,8.05
2025-01-22,1090,10.56,Appartement,80,2,Bois,Moyennement isolé,20,24394,0,7079,910,560,1118,1577,1839,464,0,3,2,Oui,6,5,Plus de 15 ans,37,2,4,10-15 ans,6,2,HD,1.3,6.61,0.63,0.74,1.98,12.85
2024-12-31,1190,9.92,Colocation,80,2,Pompe à chaleur,Très bien isolé,19,9687,0,3564,3029,1147,865,1583,0,72,529,1,0,Non,3,3,Plus de 15 ans,12,4,5,10-15 ans,9,8,4K,1.25,2.8,0.32,0.24,7.56,13.4
2025-06-05,1000,9.2,Appartement,102,2,Électrique,Très bien isolé,19,14493,1194,6885,2471,2061,1733,664,0,343,0,0,9,Oui,4,5,Plus de 15 ans,48,6,5,5-10 ans,9,2,4K,1.57,3.31,0.89,0.96,2.09,8.87
2025-06-09,1140,9.9,Colocation,114,2,Gaz,Mal isolé,23,12361,0,1178,3917,276,1760,1709,0,482,0,2,14,Non,5,6,5-10 ans,27,6,3,5-10 ans,10,6,4K,2.14,3.86,1.05,0.54,5.73,13.34
2025-06-07,1040,10.73,Appartement,73,2,Bois,Mal isolé,22,22263,942,5684,2741,1517,1592,481,0,177,0,2,13,Oui,5,4,Plus de 15 ans,10,4,6,Plus de 15 ans,8,4,SD,1.23,5.83,1.01,0.2,3.83,11.21
2025-03-30,1040,8.7,Colocation,67,3,Bois,Mal isolé,21,23287,0,2086,1300,1787,1741,157,0,441,6808,3,4,Oui,8,4,Plus de 15 ans,18,8,5,5-10 ans,9,3,SD,0.81,7.03,0.68,0.36,2.93,9.74
2025-01-07,1160,11.34,Colocation,73,1,Gaz,Mal isolé,20,21340,0,3489,4970,494,1983,1007,673,29,0,0,14,Non,2,5,10-15 ans,40,5,6,5-10 ans,2,5,SD,3.76,4.73,0.97,0.8,4.67,17.56
2025-01-23,1000,11.22,Maison,154,4,Électrique,Bien isolé,18,5904,0,7873,4658,2251,28,195,0,455,0,2,4,Non,8,3,Moins de 5 ans,32,6,2,Moins de 5 ans,9,7,SD,1.12,2.72,0.53,0.64,6.54,13.5
2025-05-31,1030,8.89,Maison,137,4,Gaz,Moyennement isolé,23,353,0,2385,4778,812,427,378,0,234,0,4,6,Oui,8,3,Plus de 15 ans,15,6,4,Plus de 15 ans,8,3,4K,1.14,2.52,0.71,0.3,2.98,6.13
2025-01-27,1140,10.25,Colocation,101,2,Électrique,Moyennement isolé,22,23872,0,4505,2662,445,1431,1236,2476,115,5740,0,12,Non,3,3,5-10 ans,41,2,5,5-10 ans,7,0,HD,1.61,5.65,0.8,0.82,0.18,10.78
2025-03-03,1000,11.97,Maison,186,2,Pompe à chaleur,Mal isolé,21,21164,0,1406,3716,680,1132,1319,0,500,0,1,9,Non,2,6,Moins de 5 ans,37,8,6,Plus de 15 ans,6,0,HD,2.51,5.11,0.82,0.74,0.2,10.3
2025-03-07,1040,8.16,Maison,85,2,Gaz,Bien isolé,22,1522,12642,636,3042,1225,1806,1666,133,143,0,2,0,Oui,3,4,10-15 ans,17,3,3,5-10 ans,2,2,SD,1.7,2.22,0.47,0.34,1.9,6.25
2025-03-17,1180,8.53,Studio,31,4,Gaz,Très bien isolé,22,23900,5531,2323,2691,2940,1398,1838,1658,297,0,2,8,Non,7,4,5-10 ans,20,3,3,10-15 ans,5,6,SD,0.53,6.36,0.73,0.4,5.58,14.1
2025-02-03,1030,9.24,Studio,38,3,Bois,Bien isolé,18,4139,0,6460,2207,1106,185,331,0,29,0,1,9,Non,4,4,Moins de 5 ans,12,3,3,Plus de 15 ans,8,3,SD,0.59,1.6,0.74,0.24,2.88,6.01
